,S. No.,Game,Platform,Hours,earnings,whyplay,Gender,Age,Work,Degree,Residence,Playstyle,GAD_T,SWL_T,SPIN_T
180,187,League of Legends,PC,8.0,I play for fun,improving,Male,21,Student at college / university,Bachelor or equivalent,Morocco,Multiplayer - online - with strangers,12,11,32.0
181,188,League of Legends,PC,8.0,I play for fun,improving,Male,23,Employed,Master or equivalent,USA,Multiplayer - online - with real life friends,0,12,5.0
182,189,League of Legends,PC,30.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),having fun,Male,19,Unemployed / between jobs,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,1,15,21.0
183,190,Starcraft 2,PC,0.0,I play for fun,winning,Male,29,Employed,High school diploma (or equivalent),Australia,watching,7,12,26.0
184,191,League of Legends,PC,40.0,I play for fun,having fun,Male,21,Unemployed / between jobs,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,0,9,19.0
185,192,League of Legends,PC,21.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),having fun,Male,18,Student at school,,France, Multiplayer - online - with online acquaintances or teammates and with real life friends,8,17,51.0
186,194,League of Legends,PC,50.0,I play for fun,improving,Male,18,Student at school,,USA,Multiplayer - online - with real life friends,8,25,21.0
187,195,League of Legends,PC,20.0,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,4,22,12.0
188,197,League of Legends,PC,12.0,I play for fun,improving,Male,31,Employed,High school diploma (or equivalent),Netherlands,Multiplayer - online - with strangers,2,25,11.0
189,198,Starcraft 2,PC,25.0,I play for fun,improving,Male,25,Student at college / university,Master or equivalent,Sweden,Multiplayer - online - with strangers,0,35,2.0
190,199,Other,PC,13.0,I play for fun,improving,Male,25,Employed,Bachelor or equivalent,USA,Multiplayer - online - with strangers,8,21,35.0
191,200,League of Legends,PC,20.0,I intend to do both if I become good enough at some point.,having fun,Male,19,Student at college / university,Bachelor or equivalent,Poland,Multiplayer - online - with strangers,19,15,28.0
192,201,League of Legends,PC,8.0,I play for fun,improving,Male,24,Employed,Bachelor or equivalent,Germany,Multiplayer - online - with online acquaintances or teammates,8,18,17.0
193,202,Starcraft 2,PC,8.0,I play for fun,improving,Male,26,Employed,Bachelor or equivalent,USA,Multiplayer - online - with online acquaintances or teammates,0,24,9.0
194,203,League of Legends,PC,18.0,I play for fun,improving,Male,18,Student at school,,USA,Multiplayer - online - with strangers,0,17,1.0
195,204,Starcraft 2,PC,20.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,18,Unemployed / between jobs,High school diploma (or equivalent),UK,Multiplayer - online - with strangers,6,27,23.0
196,205,League of Legends,PC,30.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,25,Student at college / university,Bachelor or equivalent,Australia,Multiplayer - online - with online acquaintances or teammates,0,17,7.0
197,206,League of Legends,PC,10.0,I play for fun,improving,Male,20,Student at college / university,Master or equivalent,Spain,Multiplayer - online - with strangers,7,18,20.0
198,207,Starcraft 2,PC,5.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,19,Student at college / university,High school diploma (or equivalent),Saudi Arabia,Multiplayer - online - with strangers,0,23,27.0
199,208,League of Legends,PC,15.0,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,5,22,23.0
200,209,Other,Console (PS  Xbox  ...),16.0,I play for fun,having fun,Male,27,Employed,High school diploma (or equivalent),USA,Singleplayer,4,28,8.0
201,210,League of Legends,PC,30.0,I play for fun,improving,Male,26,Employed,High school diploma (or equivalent),Germany,Multiplayer - online - with online acquaintances or teammates,2,20,23.0
202,211,League of Legends,PC,5.0,I play for fun,having fun,Male,18,Student at school,,Germany,Multiplayer - online - with real life friends,4,23,7.0
203,212,League of Legends,PC,7.0,I play for fun,having fun,Male,23,Employed,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,2,25,8.0
204,213,League of Legends,PC,14.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Slovakia,Multiplayer - online - with online acquaintances or teammates,6,19,31.0
205,214,Hearthstone,PC,50.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,22,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,1,15,
206,215,League of Legends,PC,30.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,2,24,1.0
207,216,League of Legends,PC,20.0,I play for fun,improving,Male,18,Unemployed / between jobs,High school diploma (or equivalent),Czech Republic,Multiplayer - online - with strangers,14,10,18.0
208,217,League of Legends,PC,15.0,I play for fun,relaxing,Male,24,Employed,High school diploma (or equivalent),Denmark,Multiplayer - online - with real life friends,7,19,40.0
209,218,League of Legends,PC,25.0,I play for fun,winning,Male,20,Employed,,UK,Multiplayer - online - with real life friends,1,17,31.0
210,219,Starcraft 2,PC,10.0,I play for fun,improving,Male,30,Employed,Master or equivalent,USA,Multiplayer - online - with real life friends,21,35,5.0
211,220,League of Legends,PC,2.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Belgium,Multiplayer - online - with strangers,7,16,30.0
212,222,League of Legends,PC,30.0,I play for fun,improving,Male,20,Student at school,High school diploma (or equivalent),Austria,Multiplayer - online - with online acquaintances or teammates,1,20,21.0
213,223,League of Legends,PC,20.0,I play for fun,relaxing,Male,18,Student at school,Bachelor or equivalent,Bulgaria,Multiplayer - online - with real life friends,1,24,30.0
214,224,League of Legends,PC,20.0,I play for fun,improving,Male,29,Employed,Bachelor or equivalent,USA,Multiplayer - online - with strangers,4,20,18.0
215,225,League of Legends,PC,30.0,I play for fun,improving,Male,20,Unemployed / between jobs,High school diploma (or equivalent),Austria,Singleplayer,4,14,35.0
216,226,Other,PC,35.0,I play for fun,having fun,Male,23,Employed,Master or equivalent,France,Multiplayer - online - with real life friends,8,19,24.0
217,227,Other,PC,24.0,I play for fun,winning,Female,25,Student at school,High school diploma (or equivalent),USA,Singleplayer,4,11,23.0
218,228,League of Legends,PC,20.0,I play for fun,improving,Male,23,Student at school,Ph.D.  Psy. D.  MD (or equivalent),USA,Multiplayer - online - with strangers,1,34,0.0
219,229,League of Legends,PC,25.0,for fun and improvement,improving,Male,20,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online with friends  teammates and strangers,1,17,3.0
220,230,Diablo 3,PC,50.0,I play for fun,passing the time,Female,21,Unemployed / between jobs,High school diploma (or equivalent),UK,Singleplayer,15,5,50.0
221,231,League of Legends,PC,14.0,I play for fun,improving,Male,18,Student at school,,Denmark,Multiplayer - online - with real life friends,1,15,22.0
222,234,Starcraft 2,PC,12.0,I play for fun,having fun,Male,18,Student at school,,USA,Multiplayer - online - with online acquaintances or teammates,5,26,9.0
223,235,League of Legends,PC,20.0,I play for fun,having fun,Female,29,Employed,Bachelor or equivalent,Canada,Multiplayer - online - with online acquaintances or teammates,9,23,37.0
224,236,League of Legends,PC,16.0,I play for fun,having fun,Male,24,Employed,Master or equivalent,France,Multiplayer - online - with online acquaintances or teammates,2,29,12.0
225,237,League of Legends,PC,20.0,I play for fun,improving,Male,20,Student at college / university,Bachelor or equivalent,Germany,Multiplayer - online - with real life friends,3,16,15.0
226,238,League of Legends,PC,16.0,I play for fun,improving,Male,23,Employed,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,6,34,25.0
227,239,Starcraft 2,PC,20.0,I play for fun,improving,Male,25,Student at college / university,Master or equivalent,Germany,Multiplayer - online - with real life friends,6,23,18.0
228,240,League of Legends,PC,28.0,I play for fun,improving,Male,19,Student at school,High school diploma (or equivalent),Germany,Multiplayer - online - with strangers,3,18,10.0
229,241,League of Legends,PC,10.0,I play for fun,having fun,Male,30,Employed,Master or equivalent,Canada,Multiplayer - online - with strangers,6,24,8.0
230,242,League of Legends,PC,20.0,I play for fun,having fun,Male,20,Student at school,High school diploma (or equivalent),Belgium,Multiplayer - online - with real life friends,2,29,7.0
231,243,Starcraft 2,PC,15.0,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Sweden,Multiplayer - online - with real life friends,9,15,32.0
232,244,League of Legends,PC,25.0,I play for fun,having fun,Male,18,Unemployed / between jobs,High school diploma (or equivalent),Germany,Multiplayer - online - with strangers,4,21,32.0
233,245,League of Legends,PC,35.0,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,3,25,
234,246,League of Legends,PC,27.0,I play for fun,having fun,Male,22,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,1,23,5.0
235,247,League of Legends,PC,15.0,I play for fun,having fun,Male,22,Student at college / university,Master or equivalent,France,Multiplayer - online - with strangers,2,24,17.0
236,248,League of Legends,PC,15.0,I play for fun,relaxing,Male,18,Student at school,,USA,Multiplayer - online - with strangers,10,24,24.0
237,249,League of Legends,PC,4.0,I play for fun,improving,Male,23,Student at college / university,Bachelor or equivalent,Portugal,Multiplayer - online - with real life friends,0,14,17.0
238,250,League of Legends,PC,35.0,I play for fun,improving,Male,18,Student at school,,Canada,Multiplayer - online - with strangers,2,23,15.0
239,251,League of Legends,PC,10.0,I play for fun,improving,Male,28,Employed,Bachelor or equivalent,Sweden,Multiplayer - online - with strangers,1,29,9.0
240,252,League of Legends,PC,10.0,I play for fun,improving,Female,26,Employed,Bachelor or equivalent,USA,Multiplayer - online - with strangers,3,23,20.0
241,253,League of Legends,PC,35.0,I play for fun,having fun,Male,21,Unemployed / between jobs,High school diploma (or equivalent),Bosnia and Herzegovina,Multiplayer - online - with strangers,8,10,1.0
242,254,Other,PC,5.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,2,31,5.0
243,255,League of Legends,PC,6.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),having fun,Male,21,Unemployed / between jobs,High school diploma (or equivalent),Italy,Multiplayer - online - with real life friends,3,27,7.0
244,256,League of Legends,PC,10.0,I play for fun,winning,Male,19,Student at college / university,High school diploma (or equivalent),Australia,Multiplayer - online - with strangers,5,23,
245,257,League of Legends,PC,6.0,I play for fun,having fun,Male,23,Employed,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,0,30,8.0
246,258,League of Legends,PC,35.0,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Slovenia,Multiplayer - online - with real life friends,1,30,0.0
247,259,League of Legends,PC,28.0,I play for fun,having fun,Male,22,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,5,8,12.0
248,260,League of Legends,PC,15.0,I play for fun,having fun,Female,19,Student at college / university,High school diploma (or equivalent),Australia,Multiplayer - online - with real life friends,2,11,39.0
249,261,League of Legends,PC,35.0,I play for fun,improving,Male,25,Employed,Master or equivalent,Sweden,Multiplayer - online - with online acquaintances or teammates,1,18,19.0
250,262,League of Legends,PC,40.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),winning,Male,29,Unemployed / between jobs,Bachelor or equivalent,Sweden,Multiplayer - online - with strangers,3,10,2.0
251,263,League of Legends,PC,25.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Greece,Multiplayer - online - with strangers,3,12,48.0
